2021-01-01 14:27:29,1,Someone else's house,Other (Add in Description,0.0,1,nan,Dogs,nan,01/05/2021 21:46:23,41.4978318,-81.6939482,230W Prospect Ave E, Cleveland, OH 44113, USA,4,1,1,53,1,2021,1,01-01,1,41.4978318,-81.6939482
2021-01-01 23:39:33,3,Your Home,Unkown,0.0,1,Mitch,Cats,nan,01/05/2021 21:48:08,41.4978285,-81.6939281,Tower City Center, 230 W Huron Rd, Cleveland, OH 44113, USA,4,1,1,53,1,2021,4,01-01,4,41.4978285,-81.6939281
2021-01-02 11:48:11,2,Your Home,Change in Brightness,0.0,0 (Alone),nan,Cats,nan,01/05/2021 21:50:02,41.4978316,-81.693933,Tower City Center, 230 W Huron Rd, Cleveland, OH 44113, USA,5,2,2,53,1,2021,6,02-01,6,41.4978316,-81.693933
2021-01-02 12:29:15,2,Your Home,Unkown,0.0,1,Mitch,Cats,nan,01/05/2021 21:54:12,41.497833899999996,-81.693953,230W Prospect Ave E, Cleveland, OH 44113, USA,5,2,2,53,1,2021,8,02-01,8,41.497833899999996,-81.693953
2021-01-02 13:50:48,1,Your Home,Unkown,0.0,2,Mitch, Noah,nan,nan,01/05/2021 21:57:06,41.4978481,-81.6939246,Tower City Center, 230 W Huron Rd, Cleveland, OH 44113, USA,5,2,2,53,1,2021,9,02-01,9,41.4978481,-81.6939246
2021-01-03 13:02:56,4,Your Home,Unkown,0.0,0 (Alone),nan,Cats,nan,01/05/2021 21:46:23,41.4978318,-81.6939482,230W Prospect Ave E, Cleveland, OH 44113, USA,6,3,3,53,1,2021,13,03-01,13,41.4978318,-81.6939482
2021-01-03 21:07:19,5,Your Home,Other (Add in Notes),0.0,0 (Alone),nan,nan,Laundry,01/05/2021 21:48:08,41.4978285,-81.6939281,Tower City Center, 230 W Huron Rd, Cleveland, OH 44113, USA,6,3,3,53,1,2021,18,03-01,18,41.4978285,-81.6939281
2021-01-04 13:35:50,3,Your Home,Unkown,0.0,0 (Alone),nan,Cats,nan,01/05/2021 21:50:02,41.4978316,-81.693933,Tower City Center, 230 W Huron Rd, Cleveland, OH 44113, USA,0,4,4,1,1,2021,21,04-01,21,41.4978316,-81.693933
2021-01-04 15:22:23,1,Your Home,Unkown,0.0,0 (Alone),nan,nan,nan,01/05/2021 21:54:12,41.497833899999996,-81.693953,230W Prospect Ave E, Cleveland, OH 44113, USA,0,4,4,1,1,2021,22,04-01,22,41.497833899999996,-81.693953
2021-01-05 18:26:50,2,Your Home,Change in Brightness (Artificial),0.0,0 (Alone),nan,Cats,nan,01/06/2021 6:27:00,41.4978846,-81.6936925,230 Huron Rd E, Cleveland, OH 44113, USA,1,5,5,1,1,2021,24,05-01,24,41.4978846,-81.6936925
